Num,onset,d,hof,hxf,empaul,ersumpa,erpka
107,3.52,4,-9.6354,-15.07969703,2.36,12.16,16.5
108,2.12,5,-8.9307,-12.45488113,1.93,12.16,16.5
109,1.84,6,-6.2095,-20.2879156,2.18,12.16,16.5
110,1.53,7,-6.5139,-18.29152374,2.2,12.16,16.5
111,2.17,9,-3.3838,-11.02740733,2.28,12.16,16.5
112,3.74,1,-10.4519,-12.76816416,1.36,12.16,5.25
113,3.32,2,-11.394,-13.05245161,1.54,12.16,5.25
114,2.87,3,-8.1533,-8.64200906,1.63,12.16,5.25
115,3.11,5,-6.2645,-9.92466078,1.66,12.16,5.25
116,2.73,5,-5.4945,-7.70656324,1.55,12.16,5.25
117,1.94,6,-6.4484,-8.33119627,1.83,12.16,5.25
118,1.61,7,-5.5968,-7.64763053,1.88,12.16,5.25
119,1.55,8,-4.7538,-7.88908882,1.92,12.16,5.25
120,1.72,10,-3.2591,-8.18771585,1.9,12.16,5.25
121,2.06,10,-2.1943,-6.47270069,1.65,12.16,5.25
122,3.7,1,-10.3982,-12.91351921,1.22,12.16,5.25
123,3.16,2,3.3227,-14.60466514,1.33,12.16,5.25
124,3.41,4,-12.0684,-17.72774303,1.59,12.16,5.25
125,3,5,-7.7098,-14.61204179,2.16,12.16,5.25
126,2.74,6,-6.1499,-6.47326001,1.91,12.16,5.25
127,1.67,7,-6.137,-12.40966286,2.2,12.16,5.25
128,1.6,8,-4.8408,-8.09691444,2.28,12.16,5.25
129,2.53,10,-2.8129,-6.68892889,2.2,12.16,5.25
130,1.9,10,-0.2972,-6.621642518,1.69,12.16,5.25
131,3.27,2,-13.5823,-14.73108494,1.32,12.16,5.25
132,2.94,3,-13.8793,-10.51946208,1.51,12.16,5.25
133,3.61,4,-9.6354,-15.07969703,2.36,12.16,5.25
134,3.47,5,-8.9307,-12.45488113,1.93,12.16,5.25
135,2.4,6,-6.2095,-20.2879156,2.18,12.16,5.25
136,1.6,7,-6.5139,-18.29152374,2.2,12.16,5.25
137,2.46,9,-3.3838,-11.02740733,2.28,12.16,5.25
138,3.66,1,-10.4519,-12.76816416,1.36,12.16,16.5
139,3.04,2,-11.394,-13.05245161,1.54,12.16,16.5
140,2.93,3,-8.1533,-8.64200906,1.63,12.16,16.5
141,2.46,5,-6.2645,-9.92466078,1.66,12.16,16.5
142,2.42,5,-5.4945,-7.70656324,1.55,12.16,16.5
143,2.09,6,-6.4484,-8.33119627,1.83,12.16,16.5
144,1.53,7,-5.5968,-7.64763053,1.88,12.16,16.5
145,2.09,8,-4.7538,-7.88908882,1.92,12.16,16.5
146,2.71,10,-3.2591,-8.18771585,1.9,12.16,16.5
147,2.69,10,-2.1943,-6.47270069,1.65,12.16,16.5
148,4.03,1,-10.3982,-12.91351921,1.22,12.16,16.5
149,3.25,2,3.3227,-14.60466514,1.33,12.16,16.5
150,3.5,4,-12.0684,-17.72774303,1.59,12.16,16.5
151,2.2,5,-7.7098,-14.61204179,2.16,12.16,16.5
152,2.35,6,-6.1499,-6.47326001,1.91,12.16,16.5
153,1.65,7,-6.137,-12.40966286,2.2,12.16,16.5
154,2.13,8,-4.8408,-8.09691444,2.28,12.16,16.5
155,3.13,10,-2.8129,-6.68892889,2.2,12.16,16.5
156,2.99,10,-0.2972,-6.621642518,1.69,12.16,16.5
157,3.42,2,-13.5823,-14.73108494,1.32,12.16,16.5
158,2.79,3,-13.8793,-10.51946208,1.51,12.16,16.5
159,3.53,4,-9.6354,-15.07969703,2.36,12.16,16.5
160,2.11,5,-8.9307,-12.45488113,1.93,12.16,16.5
161,1.85,6,-6.2095,-20.2879156,2.18,12.16,16.5
162,1.52,7,-6.5139,-18.29152374,2.2,12.16,16.5
163,2.18,9,-3.3838,-11.02740733,2.28,12.16,16.5
